File Name,Total Frames,Total Objects,Good Objects,Multiple Objects,No Objects,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
log42_1535489136047705_scene-0552.csv,36,170,64,67,39,0.7452777777777778,0.8386666666666666,0.20830555555555555,1.2320277777777777,0.6802500000000002,0.47758333333333336,1.501472222222222
log42_1535489296047917_scene-0553.csv,37,311,162,55,94,0.8213783783783782,0.8275675675675676,0.3116486486486486,1.8099189189189189,0.8516486486486486,0.29443243243243244,1.792756756756757
log42_1535489316047944_scene-0554.csv,39,380,183,12,185,0.7686666666666664,0.6622820512820512,0.753102564102564,2.1632307692307697,0.9631538461538462,0.055000000000000014,1.4652820512820512
log42_1535489336046302_scene-0555.csv,39,527,366,68,93,0.8886923076923079,0.8427179487179487,0.36623076923076925,2.417384615384615,0.9497948717948717,0.11469230769230769,2.1658974358974357
log43_1535729899947136_scene-0556.csv,37,209,98,63,48,0.8317027027027027,0.8811081081081081,0.20410810810810814,1.5274054054054054,0.8062432432432429,0.3330270270270271,1.6564864864864866
log43_1535730273898775_scene-0557.csv,36,89,40,22,27,0.8088055555555553,0.8427777777777776,0.14544444444444446,0.7121666666666667,0.8445555555555555,0.16655555555555548,0.7332777777777777
log43_1535730318896475_scene-0558.csv,35,285,126,72,87,0.8214,0.8404857142857142,0.29051428571428567,1.7480285714285715,0.8137714285714287,0.32102857142857144,1.7786285714285714
log43_1535730400896089_scene-0559.csv,40,345,177,108,60,0.8667250000000001,0.9226499999999997,0.15665,1.9035999999999997,0.8233750000000002,0.37389999999999995,2.1209000000000002
log43_1535730420949747_scene-0560.csv,36,254,147,43,64,0.8748611111111112,0.8864722222222221,0.1913611111111111,1.6710555555555555,0.8749722222222223,0.22005555555555553,1.6998055555555556
log43_1535730460896709_scene-0561.csv,36,248,131,25,92,0.836,0.7965277777777777,0.3900277777777777,1.7249166666666664,0.9120277777777779,0.13933333333333334,1.474222222222222
log43_1535730494896554_scene-0562.csv,30,250,134,73,43,0.8506333333333334,0.8724000000000001,0.24769999999999998,1.9481666666666668,0.8342333333333333,0.33180000000000004,2.032266666666667
log43_1535730594896682_scene-0563.csv,34,163,52,52,59,0.6201764705882351,0.8274117647058823,0.21432352941176472,1.100323529411765,0.5419117647058824,0.7061764705882353,1.5921470588235296
log43_1535730634948137_scene-0564.csv,37,230,100,59,71,0.7536216216216215,0.8116756756756758,0.25705405405405396,1.3998648648648648,0.7132972972972974,0.44300000000000006,1.5858378378378384
log43_1535730654897289_scene-0565.csv,40,369,172,108,89,0.7933250000000001,0.848725,0.28965,1.8754999999999995,0.7515750000000002,0.5227250000000001,2.1087
log44_1537290666298485_scene-0566.csv,38,228,101,47,80,0.8059736842105264,0.7949473684210527,0.35576315789473684,1.6097894736842102,0.8429473684210526,0.2261052631578947,1.4802105263157892
log44_1537290736298847_scene-0568.csv,38,150,55,71,24,0.6917105263157896,0.9238157894736841,0.10194736842105263,1.1156052631578948,0.6239736842105263,0.5141842105263157,1.5278157894736843
log44_1537290776398980_scene-0570.csv,36,277,141,66,70,0.8314444444444444,0.8186666666666668,0.33213888888888893,1.7855555555555551,0.8575,0.24866666666666667,1.7021111111111111
log44_1537290796300024_scene-0571.csv,41,307,95,145,67,0.7763170731707316,0.8335365853658537,0.30699999999999994,1.7842926829268295,0.7296829268292684,0.5732195121951218,2.0504390243902444
log44_1537290816299481_scene-0572.csv,40,363,233,48,82,0.8892749999999999,0.8636249999999999,0.2799499999999999,2.0716999999999994,0.9226750000000001,0.145475,1.937325
log44_1537290836300081_scene-0573.csv,41,282,133,56,93,0.8446585365853658,0.8330243902439024,0.32995121951219514,1.5784390243902438,0.882878048780488,0.20387804878048776,1.452439024390244
log44_1537290856298971_scene-0574.csv,40,243,121,51,71,0.83415,0.8360999999999998,0.2742999999999999,1.461325,0.851125,0.2050499999999999,1.3921750000000002
log44_1537290876299000_scene-0575.csv,39,237,114,60,63,0.831230769230769,0.8144871794871796,0.3313333333333333,1.3837692307692306,0.8684871794871797,0.1980769230769231,1.2506410256410256
log44_1537290901401180_scene-0576.csv,38,138,70,11,57,0.8055263157894736,0.788,0.27873684210526306,1.1505526315789474,0.9307631578947368,0.07378947368421053,0.9456052631578945
log44_1537290941298383_scene-0577.csv,37,118,49,45,24,0.7808918918918919,0.9126216216216215,0.10921621621621623,0.9360540540540541,0.7212702702702702,0.3873243243243244,1.2141621621621623
log44_1537291001300663_scene-0578.csv,40,68,33,2,33,0.8397250000000002,0.8095500000000001,0.1766,0.4544,0.96935,0.0195,0.297325
log44_1537291061299064_scene-0580.csv,38,166,52,72,42,0.7147368421052631,0.8391315789473687,0.21368421052631578,1.2598684210526314,0.6565789473684212,0.5418947368421052,1.588184210526316
log44_1537291123399843_scene-0582.csv,36,111,64,23,24,0.7688888888888887,0.8779722222222222,0.16622222222222222,0.7900555555555556,0.7857500000000001,0.19444444444444448,0.8181666666666667
log44_1537291143298675_scene-0583.csv,41,307,151,37,119,0.8017560975609757,0.7820975609756097,0.4150243902439025,1.8190731707317083,0.8817804878048778,0.17648780487804883,1.580487804878049
log45_1537292611297303_scene-0584.csv,38,315,155,47,113,0.8136315789473685,0.7525789473684208,0.4565789473684209,1.8665000000000003,0.9038157894736841,0.16042105263157894,1.5704210526315787
log45_1537292671299591_scene-0585.csv,38,526,284,144,98,0.8416315789473683,0.872184210526316,0.29760526315789465,2.3060263157894743,0.8208421052631578,0.4071315789473684,2.4154736842105264
log45_1537292691297939_scene-0586.csv,40,270,137,70,63,0.7889250000000001,0.8873499999999996,0.19132500000000002,1.527225,0.7351000000000002,0.47025000000000017,1.8060500000000004
log45_1537292711301106_scene-0587.csv,40,273,116,79,78,0.7365499999999999,0.826725,0.23567499999999994,1.3803749999999997,0.67995,0.5220250000000002,1.6668750000000003
log45_1537292731300201_scene-0588.csv,40,278,138,79,61,0.8368000000000002,0.9072749999999999,0.158925,1.58265,0.78535,0.39635000000000004,1.8199999999999998
log45_1537292771298597_scene-0589.csv,38,148,74,17,57,0.8474210526315789,0.8348684210526316,0.22615789473684209,1.141473684210526,0.9277631578947367,0.10428947368421054,1.019657894736842
log45_1537292791398156_scene-0590.csv,39,158,54,45,59,0.5984615384615384,0.6220769230769231,0.3788205128205127,1.1443846153846151,0.7816666666666666,0.2849230769230769,1.0505641025641026
log45_1537292811298099_scene-0591.csv,40,182,79,39,64,0.7870499999999997,0.79165,0.282975,1.2952249999999998,0.8130750000000001,0.23082499999999992,1.2431499999999998
log45_1537292871298705_scene-0592.csv,37,352,171,70,111,0.8312972972972973,0.789864864864865,0.4337027027027026,2.089675675675675,0.8965675675675676,0.20972972972972972,1.8658108108108107
log45_1537292923400126_scene-0593.csv,34,152,70,28,54,0.7552058823529413,0.7955000000000002,0.24308823529411766,1.2474705882352937,0.8241764705882354,0.2096176470588235,1.2141176470588233
log45_1537292943399770_scene-0594.csv,39,268,111,72,85,0.8048205128205126,0.8067692307692307,0.3332051282051282,1.6848205128205127,0.8099487179487181,0.32264102564102554,1.674230769230769
log45_1537292983299173_scene-0595.csv,38,193,105,21,67,0.8137105263157893,0.7352631578947367,0.4102105263157895,1.5324736842105267,0.9342368421052633,0.09276315789473683,1.214947368421053
log45_1537293196300046_scene-0596.csv,36,218,106,63,49,0.7831666666666668,0.7971111111111112,0.30772222222222223,1.58225,0.7859444444444446,0.32780555555555546,1.6022777777777777
log45_1537293216300616_scene-0597.csv,39,447,218,102,127,0.8481538461538458,0.838025641025641,0.3580512820512821,2.168358974358974,0.8701538461538464,0.25956410256410256,2.070051282051282
log45_1537293276298487_scene-0598.csv,38,239,147,55,37,0.8636842105263156,0.9137368421052634,0.16273684210526312,1.5537631578947368,0.8402894736842105,0.2669736842105263,1.6581842105263151
log45_1537293296299586_scene-0599.csv,39,469,191,177,101,0.786153846153846,0.803846153846154,0.4380769230769231,2.23874358974359,0.7745384615384615,0.5227948717948718,2.323410256410256
log45_1537293316300699_scene-0600.csv,39,227,88,100,39,0.744205128205128,0.8360512820512821,0.22858974358974357,1.4386153846153842,0.6912051282051282,0.5648717948717947,1.7750256410256413
log46_1537295813898777_scene-0625.csv,37,262,128,62,72,0.8372162162162162,0.8177567567567565,0.3369189189189189,1.8066756756756759,0.8720270270270273,0.226,1.6958108108108108
log46_1537295833898809_scene-0626.csv,39,403,229,84,90,0.8473589743589747,0.8502564102564102,0.28874358974358977,1.9661794871794867,0.8533589743589747,0.2941538461538461,1.9715897435897427
log46_1537295873900491_scene-0627.csv,39,233,92,86,55,0.751051282051282,0.8005128205128206,0.3381025641025641,1.5734358974358975,0.7465128205128204,0.417076923076923,1.6525128205128208
log46_1537295913899429_scene-0629.csv,36,299,156,58,85,0.7748055555555555,0.7860833333333335,0.33752777777777776,1.6190833333333332,0.8471388888888887,0.29300000000000004,1.574583333333333
log46_1537295946898999_scene-0630.csv,39,231,138,42,51,0.7917435897435897,0.7471538461538463,0.4384615384615385,1.5715128205128208,0.8645897435897434,0.19202564102564107,1.325128205128205
log46_1537295986951036_scene-0632.csv,38,67,38,10,19,0.8597894736842104,0.9416052631578947,0.06863157894736843,0.48268421052631594,0.8661842105263158,0.11649999999999999,0.5305526315789474
log46_1537296035899073_scene-0633.csv,35,204,77,88,39,0.6950000000000001,0.7536571428571428,0.38411428571428563,1.4936857142857143,0.6714857142857145,0.5659142857142856,1.675685714285714
log46_1537296055898536_scene-0634.csv,39,496,194,194,108,0.7754871794871794,0.784871794871795,0.47384615384615386,2.2465897435897437,0.7728974358974359,0.5240000000000001,2.296666666666666
log46_1537296075899673_scene-0635.csv,39,398,95,110,193,0.6877435897435897,0.6173333333333332,0.7597692307692305,1.9797948717948715,0.7860000000000001,0.33328205128205124,1.5533589743589742
