frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
246,2,1,1,0,0,0.876,1.000,0.000,0.562,0.779,0.159,0.721,0,0
247,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
248,3,3,0,0,0,1.000,1.000,0.000,1.011,1.000,0.000,1.011,0,0
249,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
250,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
251,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.099,1.099,0,0
252,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
253,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
254,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
255,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
256,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
257,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
258,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.325,0.325,0,0
259,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
260,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
261,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
262,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
263,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.950,0.950,0,0
264,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.349,0.349,0,0
265,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
266,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
267,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
268,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
269,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
