frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
91,12951195.307,2,2,380,0,0,0,0,0,0.053,380,385,0.294,0.909,0.909,0.909,0.909,0.909,0.800,0.800,0.500,0.500,0.909,0.909,0.909,0.909,0.909,0.800,0.800,0.500,0.500
92,12951195.380,2,2,382,0,0,0,0,0,0.052,382,380,0.170,0.800,0.800,0.800,0.800,0.667,0.500,0.500,0.286,0.286,0.800,0.800,0.800,0.800,0.667,0.500,0.500,0.286,0.286
93,12951195.453,2,2,376,0,0,0,0,0,0.053,376,382,0.156,0.833,0.833,0.833,0.600,0.600,0.444,0.250,0.250,0.250,0.833,0.833,0.833,0.600,0.600,0.444,0.250,0.250,0.250
94,12951195.527,2,2,382,0,0,0,0,0,0.058,382,376,0.199,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444,0.250,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444,0.250
95,12951195.599,2,2,388,0,0,0,0,0,0.052,388,382,0.458,0.889,0.889,0.889,0.889,0.889,0.750,0.571,0.571,0.333,0.889,0.889,0.889,0.889,0.667,0.750,0.571,0.571,0.333
96,12951195.673,2,2,380,0,0,0,0,0,0.055,380,388,0.219,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.500,0.500,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.500,0.500
97,12951195.745,2,2,379,0,0,0,0,0,0.042,379,380,0.230,0.800,0.800,0.800,0.800,0.800,0.667,0.500,0.286,0.286,0.800,0.800,0.800,0.800,0.800,0.667,0.500,0.286,0.286
98,12951195.819,2,2,394,0,0,0,0,0,0.069,394,379,0.211,0.833,0.833,0.833,0.600,0.600,0.600,0.600,0.600,0.444,0.833,0.833,0.833,0.600,0.600,0.600,0.600,0.600,0.444
99,12951195.894,2,2,373,0,0,0,0,0,0.059,373,394,0.395,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.500,0.500
100,12951196.038,6,6,368,0,0,0,0,0,0.062,368,373,0.209,0.600,0.600,0.600,0.600,0.667,0.500,0.500,0.500,0.500,0.600,0.600,0.600,0.600,0.667,0.500,0.500,0.500,0.500
101,12951196.114,2,2,383,0,0,0,0,0,0.070,383,368,0.270,0.909,0.800,0.800,0.667,0.667,0.667,0.500,0.500,0.500,0.909,0.800,0.800,0.667,0.667,0.667,0.500,0.500,0.500
102,12951196.187,2,2,371,0,0,0,0,0,0.062,371,383,0.213,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.500,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.500
103,12951196.259,7,7,371,0,0,0,0,0,0.057,371,371,0.436,0.600,0.600,0.600,0.600,0.600,0.667,0.667,0.500,0.286,0.600,0.600,0.600,0.600,0.600,0.667,0.667,0.500,0.286
104,12951196.333,2,2,364,0,0,0,0,0,0.052,364,371,0.163,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571
105,12951196.407,2,2,384,0,0,0,0,0,0.068,384,364,0.677,1.000,1.000,1.000,1.000,0.857,0.667,0.667,0.667,0.667,1.000,1.000,1.000,1.000,0.857,0.667,0.667,0.667,0.667
106,12951196.481,2,2,362,0,0,0,0,0,0.044,362,384,0.559,1.000,1.000,1.000,0.857,0.857,0.667,0.667,0.667,0.667,1.000,1.000,1.000,0.857,0.857,0.667,0.667,0.667,0.667
107,12951196.555,2,2,376,0,0,0,0,0,0.064,376,362,0.636,0.889,0.889,0.889,0.750,0.750,0.750,0.750,0.571,0.571,0.889,0.889,0.889,0.750,0.750,0.750,0.750,0.571,0.571
108,12951196.627,2,2,372,0,0,0,0,0,0.065,372,376,0.466,0.889,0.889,0.889,0.750,0.750,0.750,0.571,0.571,0.571,0.889,0.889,0.889,0.750,0.750,0.750,0.571,0.571,0.571
109,12951196.699,2,2,367,0,0,0,0,0,0.054,367,372,0.212,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571
110,12951196.774,2,2,376,0,0,0,0,0,0.053,376,367,0.535,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.667,0.667,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.667,0.667
111,12951196.847,2,2,374,0,0,0,0,0,0.053,374,376,0.711,0.889,0.750,0.750,0.750,0.750,0.571,0.571,0.571,0.571,0.889,0.750,0.750,0.750,0.750,0.571,0.571,0.571,0.571
